Recorded date: Apr 16, 2026, 17:03:58
Export date: Apr 18, 2026, 18:35:51
Min (dB-A): 70.5
Max (dB-A): 85.0
Peak (dB-A): 88.3
Avg (dB-A): 74.9
TWA (dB-A): 0.0
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
73.3,1776333744966
73.3,1776333745206
73.1,1776333745429
73.5,1776333745666
73.5,1776333745908
73.7,1776333746129
74.0,1776333746367
73.5,1776333746586
73.8,1776333746788
73.2,1776333747007
73.9,1776333747207
73.6,1776333747432
74.1,1776333747668
73.4,1776333747908
73.1,1776333748127
73.1,1776333748329
73.4,1776333748548
72.9,1776333748790
72.9,1776333749009
73.0,1776333749247
73.8,1776333749486
73.4,1776333749708
72.8,1776333749947
73.5,1776333750187
72.5,1776333750408
73.1,1776333750647
73.2,1776333750886
73.1,1776333751108
72.2,1776333751347
73.0,1776333751572
73.3,1776333751775
72.4,1776333751989
72.6,1776333752193
73.1,1776333752409
72.5,1776333752610
72.8,1776333752830
72.5,1776333753031
71.9,1776333753248
73.0,1776333753449
72.8,1776333753707
72.0,1776333753927
72.6,1776333754171
72.9,1776333754389
72.2,1776333754631
72.5,1776333754870
72.4,1776333755090
76.3,1776333755291
77.3,1776333755507
75.3,1776333755746
75.1,1776333755987
75.8,1776333756212
76.2,1776333756447
75.4,1776333756667
75.4,1776333756908
76.1,1776333757147
75.1,1776333757369
76.4,1776333757569
76.0,1776333757789
74.9,1776333758032
75.5,1776333758269
74.9,1776333758489
74.5,1776333758733
73.2,1776333758948
76.6,1776333759189
76.8,1776333759429
77.2,1776333759649
76.3,1776333759851
77.4,1776333760071
76.3,1776333760308
75.8,1776333760550
75.5,1776333760772
76.4,1776333761009
76.3,1776333761249
76.6,1776333761468
76.1,1776333761710
74.4,1776333761933
75.0,1776333762167
76.7,1776333762388
78.9,1776333762607
76.7,1776333762808
76.9,1776333763038
77.0,1776333763270
75.7,1776333763507
75.6,1776333763728
75.3,1776333763975
76.4,1776333764190
77.2,1776333764431
78.2,1776333764667
77.3,1776333764891
77.7,1776333765130
76.6,1776333765368
76.1,1776333765588
75.0,1776333765791
73.8,1776333766009
77.0,1776333766251
76.6,1776333766487
79.7,1776333766708
74.5,1776333766953
74.9,1776333767168
75.1,1776333767369
76.4,1776333767589
74.8,1776333767828
74.6,1776333768068
74.8,1776333768289
74.8,1776333768530
73.7,1776333768768
72.0,1776333768989
72.1,1776333769231
72.1,1776333769448
71.4,1776333769650
76.7,1776333769869
75.4,1776333770069
74.4,1776333770288
74.3,1776333770488
72.2,1776333770711
73.9,1776333770948
75.0,1776333771169
74.6,1776333771389
76.5,1776333771589
75.6,1776333771810
74.9,1776333772048
75.7,1776333772268
74.9,1776333772470
74.2,1776333772693
74.7,1776333772930
74.4,1776333773170
73.7,1776333773389
79.3,1776333773589
77.4,1776333773809
75.4,1776333774012
74.1,1776333774230
73.9,1776333774469
75.7,1776333774688
76.0,1776333774898
73.8,1776333775108
74.2,1776333775308
74.2,1776333775528
75.4,1776333775728
73.5,1776333775949
77.0,1776333776188
75.8,1776333776428
72.3,1776333776649
72.3,1776333776890
75.3,1776333777111
75.6,1776333777349
77.4,1776333777589
77.1,1776333777810
80.9,1776333778011
78.3,1776333778231
80.0,1776333778471
79.3,1776333778709
82.8,1776333778929
76.8,1776333779169
78.8,1776333779392
75.1,1776333779630
74.3,1776333779869
74.1,1776333780128
73.4,1776333780348
73.9,1776333780548
73.4,1776333780771
73.5,1776333780971
74.8,1776333781189
72.9,1776333781428
72.5,1776333781669
71.7,1776333781890
72.8,1776333782129
73.7,1776333782354
76.2,1776333782590
73.2,1776333782830
72.3,1776333783048
72.3,1776333783291
72.1,1776333783528
71.5,1776333783747
71.3,1776333783987
71.8,1776333784226
72.5,1776333784447
71.6,1776333784688
71.7,1776333784907
71.2,1776333785109
72.0,1776333785326
72.4,1776333785527
71.9,1776333785748
71.8,1776333785986
71.8,1776333786229
71.7,1776333786450
71.3,1776333786689
71.4,1776333786927
72.2,1776333787148
72.1,1776333787389
72.9,1776333787606
72.2,1776333787806
72.8,1776333788028
72.0,1776333788270
72.4,1776333788506
71.6,1776333788729
72.2,1776333788947
71.6,1776333789187
71.0,1776333789407
73.3,1776333789652
81.5,1776333789868
75.1,1776333790107
74.7,1776333790347
76.8,1776333790568
73.8,1776333790768
71.5,1776333790987
78.8,1776333791187
81.4,1776333791407
78.6,1776333791647
77.8,1776333791886
80.6,1776333792107
82.3,1776333792350
74.1,1776333792568
75.4,1776333792808
73.6,1776333793046
73.6,1776333793269
77.4,1776333793508
73.8,1776333793748
75.4,1776333793967
73.4,1776333794212
72.4,1776333794450
72.6,1776333794667
72.3,1776333794908
72.2,1776333795126
72.5,1776333795326
72.0,1776333795547
73.8,1776333795748
72.9,1776333795967
72.7,1776333796168
72.0,1776333796387
72.9,1776333796626
72.5,1776333796867
72.4,1776333797087
72.2,1776333797330
72.2,1776333797550
72.1,1776333797766
77.1,1776333798007
75.6,1776333798229
74.9,1776333798467
74.6,1776333798706
74.1,1776333798927
72.4,1776333799128
72.5,1776333799349
72.3,1776333799589
72.9,1776333799808
72.5,1776333800047
72.1,1776333800287
72.8,1776333800507
72.8,1776333800710
72.8,1776333800928
73.1,1776333801168
78.8,1776333801408
85.0,1776333801628
79.2,1776333801867
73.2,1776333802107
81.9,1776333802330
80.4,1776333802567
73.7,1776333802787
77.6,1776333802987
80.4,1776333803207
77.5,1776333803407
77.1,1776333803627
74.4,1776333803830
72.9,1776333804047
73.0,1776333804247
72.9,1776333804467
72.1,1776333804668
77.0,1776333804887
75.5,1776333805131
75.7,1776333805348
74.7,1776333805549
72.9,1776333805768
72.0,1776333806007
72.3,1776333806247
72.5,1776333806507
72.2,1776333806726
72.4,1776333806927
72.5,1776333807147
72.8,1776333807388
72.5,1776333807609
71.7,1776333807809
72.0,1776333808027
73.3,1776333808227
72.7,1776333808448
72.6,1776333808649
72.1,1776333808868
72.4,1776333809107
72.9,1776333809347
72.8,1776333809569
72.4,1776333809810
72.5,1776333810029
72.4,1776333810230
72.4,1776333810447
72.1,1776333810649
72.6,1776333810867
72.1,1776333811067
71.8,1776333811287
73.1,1776333811488
72.3,1776333811707
72.0,1776333811908
72.5,1776333812127
72.3,1776333812327
72.3,1776333812547
74.4,1776333812788
79.3,1776333813010
79.4,1776333813247
79.9,1776333813487
72.7,1776333813709
73.6,1776333813911
72.3,1776333814127
72.3,1776333814329
79.5,1776333814550
78.7,1776333814787
71.8,1776333815027
71.4,1776333815267
71.2,1776333815467
71.9,1776333815687
72.2,1776333815887
71.7,1776333816111
72.1,1776333816351
71.8,1776333816587
71.8,1776333816807
71.8,1776333817007
71.7,1776333817227
71.2,1776333817427
71.9,1776333817648
72.1,1776333817887
72.0,1776333818110
71.4,1776333818347
72.5,1776333818588
72.2,1776333818813
